"","uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","sampleCode","cnSampleID","cnSampleCode","sampleType","acidTreatment","d15N","organicd13C","nitrogenPercent","organicCPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"1","6f838ec9-0dd6-41c4-97c4-f51c28217f9b",2020-01-16,"JERC_048.basePlot.bgc","D03","JERC","JERC_048","tower",2019-07-30 16:39:00,"JERC_048-M-21-32-20190730","A00000074259","JERC_048-M-21-32-20190730-CN","A00000075008","soil","N",3.2,-26.9,0.05,1.44,28.6,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"2","45457a40-8665-43e0-813f-0fce3966b1ac",2020-01-16,"JERC_048.basePlot.bgc","D03","JERC","JERC_048","tower",2019-07-30 16:39:00,"JERC_048-M-21-32-20190730","A00000074259","JERC_048-M-21-32-20190730-CN","A00000075008","soil","N",3.3,-26.9,0.05,1.44,29.9,"OK","OK","OK","OK",2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"3","a8b862a7-64dd-4e59-a338-7a6fc1a4d4ce",2020-01-16,"JERC_048.basePlot.bgc","D03","JERC","JERC_048","tower",2019-07-30 16:50:00,"JERC_048-M-3.5-35-20190730","A00000074257","JERC_048-M-3.5-35-20190730-CN","A00000075009","soil","N",4.5,-24.9,0.03,0.79,23.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"4","6fd29164-bb57-415a-b2bb-2b88e0bd6035",2020-01-16,"JERC_048.basePlot.bgc","D03","JERC","JERC_048","tower",2019-07-30 17:06:00,"JERC_048-M-17-2-20190730","A00000074258","JERC_048-M-17-2-20190730-CN","A00000075010","soil","N",3.1,-25.8,0.05,1.28,27.2,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"5","daf2e854-c8cf-44ac-a88e-ce91ba0c003d",2020-01-16,"JERC_049.basePlot.bgc","D03","JERC","JERC_049","tower",2019-07-30 17:50:00,"JERC_049-M-9-14.5-20190730","A00000074262","JERC_049-M-9-14.5-20190730-CN","A00000075014","soil","N",2.8,-26.4,0.03,0.89,26.1,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"6","7ef61f4f-6f4b-4b6f-b77e-f4674bd89ed0",2020-01-16,"JERC_049.basePlot.bgc","D03","JERC","JERC_049","tower",2019-07-30 18:04:00,"JERC_049-M-23-4.5-20190730","A00000074261","JERC_049-M-23-4.5-20190730-CN","A00000075015","soil","N",4,-25.8,0.03,0.88,25.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"7","287376eb-2617-4bda-8217-05ef5ebe0f71",2020-01-16,"JERC_049.basePlot.bgc","D03","JERC","JERC_049","tower",2019-07-30 18:15:00,"JERC_049-M-35-24-20190730","A00000074260","JERC_049-M-35-24-20190730-CN","A00000075005","soil","N",5.2,-26.2,0.02,0.73,31.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"8","46503edc-a4f1-4dee-823f-ccaab788cbfe",2020-01-16,"JERC_050.basePlot.bgc","D03","JERC","JERC_050","tower",2019-07-30 18:20:00,"JERC_050-M-0-16.5-20190730","A00000074263","JERC_050-M-0-16.5-20190730-CN","A00000075024","soil","N",3.6,-25.9,0.04,0.85,20.1,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"9","9b447b21-967f-4a7c-9edf-1deb10b34fb7",2020-01-16,"JERC_050.basePlot.bgc","D03","JERC","JERC_050","tower",2019-07-30 18:29:00,"JERC_050-M-5.5-30.5-20190730","A00000074264","JERC_050-M-5.5-30.5-20190730-CN","A00000075016","soil","N",1.5,-27.1,0.09,1.51,17,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"10","84d0b3f5-415a-4d4b-97e9-9b58477bd695",2020-01-16,"JERC_050.basePlot.bgc","D03","JERC","JERC_050","tower",2019-07-30 18:44:00,"JERC_050-M-34.5-9-20190730","A00000074265","JERC_050-M-34.5-9-20190730-CN","A00000074990","soil","N",3,-26.2,0.04,0.81,22.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"11","0471e484-6289-4fa1-9f87-7e18f0792b8c",2020-01-16,"JERC_047.basePlot.bgc","D03","JERC","JERC_047","tower",2019-07-30 19:17:00,"JERC_047-M-5.5-30.5-20190730","A00000074256","JERC_047-M-5.5-30.5-20190730-CN","A00000075021","soil","N",0.9,-26.3,0.04,1.22,29.6,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"12","fd8c8be8-ad7b-4b7f-b069-b71b41b978fc",2020-01-16,"JERC_047.basePlot.bgc","D03","JERC","JERC_047","tower",2019-07-30 19:29:00,"JERC_047-M-0-16.5-20190730","A00000074288","JERC_047-M-0-16.5-20190730-CN","A00000075022","soil","N",4.3,-23.7,0.03,0.66,21.8,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
