"","sampleID","uid","namedLocation","domainID","siteID","plotID","collectDate","sampleCode","kclSampleID","kclSampleCode","sampleCondition","ammoniumNAnalysisDate","kclAmmoniumNConc","ammoniumNRepNum","ammoniumNQF","ammoniumNRemarks","nitrateNitriteNAnalysisDate","kclNitrateNitriteNConc","nitrateNitriteNRepNum","nitrateNitriteNQF","nitrateNitriteNRemarks","laboratoryName","ammoniumNMethod","ammoniumNInstrument","ammoniumNAnalyzedBy","ammoniumNReviewedBy","nitrateNitriteNMethod","nitrateNitriteNInstrument","nitrateNitriteNAnalyzedBy","nitrateNitriteNReviewedBy","dataQF","publicationDate","release","soilFreshMass","kclVolume"
"1","BONA_070-M-26-8.5-20190826","6db3dabf-b44c-4c33-8a41-114dbc9956cb","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-08-26 22:20:00,"A00000100808","BONA_070-M-26-8.5-20190826-KCL","B00000046769","ok",2019-10-28,0.039,1,"OK",NA,2019-10-28,0.141,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",9.97,100
"2","BONA_070-M-26-8.5-20190916","adc2b35a-cb6a-4e81-ac6a-8e530c90a676","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-09-16 19:17:00,"A00000101015","BONA_070-M-26-8.5-20190916-KCL","B00000046946","ok",2019-10-28,0.028,1,"OK",NA,2019-10-28,0.085,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.03,100
"3","BONA_070-M-3-13.5-20190826","438d69a9-6d3b-430b-9404-d8c4952d1117","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-08-26 23:55:00,"A00000100806","BONA_070-M-3-13.5-20190826-KCL","B00000046775","ok",2019-10-28,0.052,1,"OK",NA,2019-10-28,0.103,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.03,100
"4","BONA_070-M-3-13.5-20190916","1825bffc-2a38-470f-94b1-178747448e94","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-09-16 19:09:00,"A00000101014","BONA_070-M-3-13.5-20190916-KCL","B00000046943","ok",2019-10-28,0.047,1,"OK",NA,2019-10-28,0.051,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.05,101
"5","BONA_070-M-30-21.5-20190826","d53dd2a7-6f32-4d3b-b58a-1099836fe8bb","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-08-26 23:15:00,"A00000100807","BONA_070-M-30-21.5-20190826-KCL","B00000046771","ok",2019-10-28,0.033,1,"OK",NA,2019-10-28,0.096,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10,100
"6","BONA_070-M-30-21.5-20190916","6e0ae388-e7a8-4658-a8ca-403d56c713f3","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-09-16 19:27:00,"A00000101016","BONA_070-M-30-21.5-20190916-KCL","B00000046944","ok",2019-10-28,0.027,1,"OK",NA,2019-10-28,0.048,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.04,100
"7","BONA_070-O-26-8.5-20190826","d5588c8f-c547-4ffd-9174-5ee1abf783bb","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-08-26 22:20:00,"A00000103265","BONA_070-O-26-8.5-20190826-KCL","B00000046768","ok",2019-10-28,0.047,1,"OK",NA,2019-10-28,0.055,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.01,99
"8","BONA_070-O-26-8.5-20190916","92eccbe5-e773-4bda-8622-57dc1001b56e","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-09-16 19:16:00,"A00000101017","BONA_070-O-26-8.5-20190916-KCL","B00000046947","ok",2019-10-28,0.029,1,"OK",NA,2019-10-28,0.057,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.03,100
"9","BONA_070-O-30-21.5-20190826","77877b73-6a2f-45ba-80de-e3397c827305","BONA_070.basePlot.bgc","D19","BONA","BONA_070",2019-08-26 23:15:00,"A00000103274","BONA_070-O-30-21.5-20190826-KCL","B00000046770","ok",2019-10-28,0.022,1,"OK",NA,2019-10-28,0.099,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.02,98
"10","BONA_071-M-37-8.5-20190826","6ba01166-d50c-433d-ad4f-3f75fab9d082","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-08-26 19:34:00,"A00000100810","BONA_071-M-37-8.5-20190826-KCL","B00000046777","ok",2019-10-28,0.08,1,"OK",NA,2019-10-28,0.048,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.01,100
"11","BONA_071-M-37-8.5-20190916","63d19e95-7f69-40ea-b5a3-2f56609f63b5","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-09-16 19:00:00,"A00000101020","BONA_071-M-37-8.5-20190916-KCL","B00000046938","ok",2019-10-28,0.027,1,"OK",NA,2019-10-28,0.077,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.04,100
"12","BONA_071-M-39-31.5-20190826","c75149fb-97a4-4fc9-9002-d7d98f32ea0c","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-08-26 20:22:00,"A00000100809","BONA_071-M-39-31.5-20190826-KCL","B00000046773","ok",2019-10-28,0.03,1,"OK",NA,2019-10-28,0.075,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.01,100
"13","BONA_071-M-6.5-19-20190826","fada96fe-27c8-4e15-b857-0e3087a370ed","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-08-26 18:43:00,"A00000100811","BONA_071-M-6.5-19-20190826-KCL","B00000046781","ok",2019-10-28,0.037,1,"OK",NA,2019-10-28,0.106,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.04,101
"14","BONA_071-O-37-8.5-20190826","605da663-a764-4598-819c-dd8305386c05","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-08-26 19:34:00,"A00000103277","BONA_071-O-37-8.5-20190826-KCL","B00000046776","ok",2019-10-28,0.028,1,"OK",NA,2019-10-28,0.029,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.01,101
